integer,nameOfApplicant,typeOfConstruction,sizeOfConstruction,constructionLocationAddress,termOfTheContract,contractNumber,durationOfTheContract,dateOfTheResolution,contactPointHasEmail,contactPointHasTelephone
3244,"Дочірнє підприємство ""БігБорд""",Щит стаціонарний,1.20 x 1.80 x 2,Науки просп. 4/9,2024-06-12,2,2026-08-31,2019-06-12,null,null
3245,"Дочірнє підприємство ""БігБорд""",Щит стаціонарний,1.20 x 1.80 x 2,Науки просп. - Чичибабіна вул.,2024-06-12,2,2026-08-31,2019-06-12,null,null
3246,"Дочірнє підприємство ""БігБорд""",Щит стаціонарний,1.20 x 1.80 x 2,Науки просп. 3,2024-06-12,2,2026-08-31,2019-06-12,null,null
3247,"Дочірнє підприємство ""БігБорд""",Щит стаціонарний,1.20 x 1.80 x 2,Науки просп. 3,2024-06-12,2,2026-08-31,2019-06-12,null,null
3248,"Дочірнє підприємство ""БігБорд""",Щит стаціонарний,1.20 x 1.80 x 2,Науки просп. - Незалежності просп.,2024-06-12,2,2026-08-31,2019-06-12,null,null
3249,"Дочірнє підприємство ""БігБорд""",Щит стаціонарний,1.20 x 1.80 x 2,Науки просп. 9 (4),2024-06-12,2,2026-08-31,2019-06-12,null,null
3250,"Дочірнє підприємство ""БігБорд""",Щит стаціонарний,3.10 x 2.20 x 2,Сумська вул. - Незалежності просп.,2024-06-12,1,2024-09-30,2019-06-12,null,null
3251,Фізична особа-підприємець Осіпова Ганна Миколаївна,Щит на фасаді,1.05 x 2.30 x 1,Конституції м-н 1,2023-02-28,null,null,2018-02-28,null,null
3252,"Товариство з обмеженою відповідальністю ""РТМ-Україна""",Щит стаціонарний,3.10 x 2.20 x 2,Кооперативна вул. (навпроти буд. № 24),2022-06-30,5,2027-01-01,2017-09-20,null,null
3253,"Товариство з обмеженою відповідальністю ""Рекламна компанія ""Віал-С""",Щит стаціонарний,6.00 x 3.00 x 1,Московський просп. 208,2021-06-30,4132,2021-06-30,2016-07-20,null,null
3254,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,4.20 х 1.00 х 1,Пискунівська вул. - Різдвяна вул. 29-А,2025-01-29,null,null,2020-01-29,null,null
3255,Фізична особа-підприємець Удянський Андрій Олександрович,Щит стаціонарний,2.00 x 3.00 x 1,Ковпака Сидора вул. 30-А,2022-05-10,5021,2022-05-10,2017-05-10,null,null
3256,"Приватне підприємство ""Астрал 2000""",Щит на фасаді,1.70 x 0.50 x 1,Космічна вул. - Науки просп. 19-А,2021-12-31,4524,2021-12-31,2018-03-28,null,null
3257,Фізична особа-підприємець Масловський Андрій Геннадійович,Щит на фасаді,3.00 x 1.10 x 1,Героїв Праці вул. 14,2022-11-15,null,null,2017-11-15,null,null
3258,"Товариство з обмеженою відповідальністю ""Рекламна компанія ""Віал-С""",Щит стаціонарний,6.00 x 3.00 x 1,Московський просп. 232-А,2021-06-30,4132,2021-06-30,2016-07-20,null,null
3259,"Приватне підприємство ""Ника+""",Щит стаціонарний,1.20 x 1.80 x 2,Рибалка вул. 6,2022-06-30,4998,2022-06-30,2019-10-30,null,null
3260,Фізична особа-підприємець Кришталь Олена Григорівна,Щит на фасаді,0.90 x 1.52 x 1,Ярослава Мудрого вул. 37,2020-12-31,4813,2021-12-31,2017-01-18,null,null
3261,Фізична особа-підприємець Чернишов Юрій Іванович,Щит виносний,0.70 x 1.00 x 2,Чернишевська вул. 34,2021-12-31,4825,2021-12-31,2021-03-17,null,null
3262,Фізична особа-підприємець Карюченко Віра Микитівна,Щит на фасаді,2.38 х 0.60 х 1,Пушкінська вул. 92,2024-01-17,null,null,2019-01-17,null,null
3263,Фізична особа-підприємець Карюченко Віра Микитівна,Щит на фасаді,1.80 х 0.45 х 1,Пушкінська вул. 92,2024-01-17,null,null,2019-01-17,null,null
3264,"Товариство з обмеженою відповідальністю ""Восторг""",Щит на фасаді,3.50 х 2.00 х 1,Московський просп. 274-В,2025-02-05,null,null,2020-02-05,null,null
3265,"Приватне підприємство ""Форсаж-21""",Щит стаціонарний,1.50 x 3.00 x 2,Людвіга Свободи просп. 52-А,2022-06-30,4919,2022-06-30,2017-08-21,null,null
3266,"Товариство з обмеженою відповідальністю ""Домінант-Фарма""",Щит на фасаді,13.00 x 0.95 x 1,Отакара Яроша вул. - Науки просп. 27,2024-07-24,null,null,2019-07-24,null,null
3267,Фізична особа-підприємець Штеренберг Дмитро Олексійович,Щит на фасаді,16.30 x 1.20 x 1,Новгородська вул. 14,2022-09-20,null,null,2017-09-20,null,null
3268,"Товариство з обмеженою відповідальністю ""Міжнародний медичний центр Офтальміка""",Щит на фасаді,3.20 x 0.57 x 1,Чернишевська вул. - Мироносицька вул. 94,2021-12-31,4458,2021-12-31,2017-01-18,null,null
3269,"Товариство з обмеженою відповідальністю ""Міжнародний медичний центр Офтальміка""",Щит на фасаді,1.20 x 1.30 x 1,Чернишевська вул. - Мироносицька вул. 94,2021-12-31,4458,2021-12-31,2017-01-18,null,null
3270,"Мале приватне підприємство ""Таіра""",Щит стаціонарний,1.20 x 1.80 x 2,Фейєрбаха м-н - Московський просп.,2022-06-30,4928,2022-06-30,2018-04-11,null,null
3271,"Рекламне агентство ""Стар"" у формі товариства з обмеженою відповідальністю",Щит стаціонарний,6.00 x 3.00 x 2,Московський просп. - Миру вул.,2022-06-30,5116,2022-06-30,2018-04-11,null,null
3272,"Рекламне агентство ""Стар"" у формі товариства з обмеженою відповідальністю",Щит стаціонарний,6.00 x 3.00 x 2,Московський просп. - Архітектора Альошина просп.,2022-06-30,5116,2022-06-30,2018-03-28,null,null
3273,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,1.50 х 1.50 х 1,Пискунівська вул. - Різдвяна вул. 29-А,2025-01-29,null,null,2020-01-29,null,null
3274,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,2.70 x 1.90 х 1,Пискунівська вул. - Різдвяна вул. 29-А,2025-01-29,null,null,2020-01-29,null,null
3275,Фізична особа-підприємець Штеренберг Дмитро Олексійович,Щит на фасаді,16.30 x 2.15 x 1,Новгородська вул. 14,2022-09-20,null,null,2017-09-20,null,null
3276,"Товариство з обмеженою відповідальністю ""Домінант-Фарма""",Щит на фасаді,6.50 x 1.00 x 1,Конституції м-н 9,2024-10-30,null,null,2019-10-30,null,null
3277,Фізична особа-підприємець Шершень Раїса Іванівна,Кронштейн на фасаді,0.60 x 1.00 x 2,Сумська вул. 19,2021-12-31,4498,2021-12-31,2017-01-18,null,null
3278,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит стаціонарний,1.25 х 2.50 х 2,Московський просп. - Окружна дорога,2022-06-30,5017,2022-06-30,2019-06-26,null,null
3279,"Акціонерне товариство ""Ідея Банк""",Щит на фасаді,22.10 x 1.00 x 1,Пушкінська вул. - Дарвіна вул. 1,2021-12-31,1238,2021-12-31,2018-06-06,null,null
3280,"Повне товариство ""Ломбард ""Свіжа копійка"" за участю ТОВ ""Еконотрейд"", ТОВ ""Технорітеіл""",Щит на фасаді,7.195 x 0.803 x 1,Отакара Яроша вул. 23,2026-09-22,null,null,2021-09-22,null,null
3281,"Товариство з обмеженою відповідальністю ""Руш""",Щит на фасаді,2.40 х 0.50 х 1,Отакара Яроша вул. 23,2024-11-13,null,null,2019-11-13,null,null
3282,"Товариство з обмеженою відповідальністю ""Руш""",Щит на фасаді,2.87 х 0.50 х 1,Отакара Яроша вул. 23,2024-11-13,null,null,2019-11-13,null,null
3283,"Товариство з обмеженою відповідальністю ""Руш""",Кронштейн на фасаді,0.50 х 0.50 х 2,Отакара Яроша вул. 23,2024-11-13,null,null,2019-11-13,null,null
3284,"Товариство з обмеженою відповідальністю Туристична фірма ""Пилигрим""",Кронштейн на фасаді,1.10 x 1.00 x 2,Квітки-Основ'яненка вул. - Конституції м-н 1,2026-07-21,null,null,2021-07-21,null,null
3285,"Товариство з обмеженою відповідальністю ""Енджел кепітал""",Щит стаціонарний,1.70 х 6.50 х 2,Леся Сердюка вул. 13,2022-06-30,5120,2022-06-30,2019-11-13,null,null
3286,"Акціонерне товариство ""Сбербанк""",Щит на фасаді,0.80 х 0.60 х 1,Вірменський пров. 2,2021-12-31,2629,2021-12-31,2019-03-27,null,null
3287,"Акціонерне товариство ""Сбербанк""",Щит на фасаді,24.00 x 1.00 x 1,Вірменський пров. 2,2021-12-31,2628,2021-12-31,2019-03-27,null,null
3288,"Рекламне агентство ""Стар"" у формі товариства з обмеженою відповідальністю",Щит стаціонарний,6.00 x 3.00 x 2,Московський просп. - Індустріальний просп.,2022-06-30,5116,2022-06-30,2018-04-11,null,null
3289,"Товариство з обмеженою відповідальністю ""Алло""",Щит на фасаді,2.66 х 4.45 х 1,Науки просп. 9,2022-03-01,null,null,2017-03-01,null,null
3290,"Повне товариство ""Ломбард ""Свіжа копійка"" за участю ТОВ ""Еконотрейд"", ТОВ ""Технорітеіл""",Щит на фасаді,0.60 x 1.38 x 1,Маршала Жукова просп. 7,2021-12-31,4496,2021-12-31,2019-07-10,null,null
3291,"Повне товариство ""Ломбард ""Свіжа копійка"" за участю ТОВ ""Еконотрейд"", ТОВ ""Технорітеіл""",Щит на фасаді,0.40 x 1.38 x 1,Маршала Жукова просп. 7,2021-12-31,4496,2021-12-31,2019-07-10,null,null
3292,"Товариство з обмеженою відповідальністю ""Сільпо-Фуд""",Щит на фасаді,5.45 x 1.90 x 1,Гвардійців-Широнінців вул. 42,2022-11-29,null,null,2017-11-29,null,null
3293,"Товариство з обмеженою відповідальністю ""Сільпо-Фуд""",Щит на фасаді,5.45 x 1.90 x 1,Гвардійців-Широнінців вул. 42,2022-11-29,null,null,2017-11-29,null,null
3294,"Товариство з обмеженою відповідальністю ""Сільпо-Фуд""",Щит на фасаді,5.45 x 1.90 x 1,Гвардійців-Широнінців вул. 42,2022-11-29,null,null,2017-11-29,null,null
3295,"Товариство з обмеженою відповідальністю ""Сільпо-Фуд""",Щит на фасаді,5.45 x 1.90 x 1,Гвардійців-Широнінців вул. 42,2022-11-29,null,null,2017-11-29,null,null
3296,"Приватне акціонерне товариство ""Українська фінансова група""",Щит на фасаді,0.94 x 0.80 x 1,Московський просп. 190/1,2021-11-23,null,null,2016-11-23,null,null
3297,Фізична особа-підприємець Амінова Юлія Ігорівна,Щит на фасаді,5.15 х 0.80 х 1,Маршала Жукова просп. 2/144,2026-04-14,null,null,2021-04-14,null,null
3298,Фізична особа-підприємець Амінова Юлія Ігорівна,Щит на фасаді,1.08 х 2.55 х 1,Маршала Жукова просп. 2/144,2026-04-14,null,null,2021-04-14,null,null
3299,Фізична особа-підприємець Бутенко Володимир Анатолійович,Щит стаціонарний,1.50 х 3.00 х 2,Данилевського вул. 19,2022-06-30,5098,2022-06-30,2020-08-19,null,null
3300,"Акціонерне товариство ""Державний ощадний банк України""",Щит на фасаді,0.50 x 0.50 x 1,Маршала Жукова просп. - Московський просп. 190/1,2021-12-31,2244,2021-12-31,2017-01-18,null,null
3301,Фізична особа-підприємець Слісь Олег Олександрович,Щит на фасаді,6.40 х 3.20 х 1,Гімназійна наб. 18-А,2025-03-11,null,null,2020-03-11,null,null
3302,Фізична особа-підприємець Бондаренко Роман Анатолійович,Кронштейн на фасаді,0.60 х 1.00 х 2,Науки просп. 77,2024-11-26,null,null,2019-11-26,null,null
3303,Фізична особа-підприємець Бондаренко Роман Анатолійович,Щит на фасаді,2.47 х 5.80 х 1,Науки просп. 77,2024-11-26,null,null,2019-11-26,null,null
3304,"Дочірнє підприємство ""Перехід Аутдор""",Щит стаціонарний,6.00 x 3.00 x 2,Московський просп. - Дванадцятого Квітня вул.,2022-06-30,4946,2022-06-30,2018-06-22,null,null
3305,"Приватне підприємство ""Далма""",Щит на фасаді,5.90 x 0.50 x 1,Полтавський Шлях вул. 23/25,2021-12-31,4387,2021-12-31,2019-08-07,null,null
3306,"Приватне підприємство ""Далма""",Щит на фасаді,6.00 x 0.50 x 1,Ярославська вул. - Полтавський Шлях вул. 23/25,2021-12-31,4387,2021-12-31,2019-08-07,null,null
3307,"Товариство з обмеженою відповідальністю ""Стиль Д""",Щит на фасаді,3.35 х 0.80 х 1,Академіка Проскури вул. 5,2023-10-24,null,null,2018-10-24,null,null
3308,Фізична особа-підприємець Лістунова Наталя Михайлівна,Кронштейн на фасаді,0.60 х 1.00 х 2,Ярослава Мудрого вул. 35-А,2021-12-31,4471,2021-12-31,2020-10-07,null,null
3309,"Товариство з обмеженою відповідальністю ""Універмаг Харків""",Щит на фасаді,2.00 х 12.30 х 1,Московський просп. 137,2023-04-25,null,null,2018-04-25,null,null
3310,"Товариство з обмеженою відповідальністю ""Універмаг Харків""",Щит на фасаді,2.07 x 12.30 x 1,Московський просп. 137,2023-04-25,null,null,2018-04-25,null,null
3311,"Товариство з обмеженою відповідальністю ""Універмаг Харків""",Щит на фасаді,3.85 x 12.30 x 1,Московський просп. 137,2023-04-25,null,null,2018-04-25,null,null
3312,"Товариство з обмеженою відповідальністю ""Мєгастар""",Щит на фасаді,6.00 x 3.00 x 1,Героїв Сталінграда просп. - Гагаріна просп. 181,2024-10-30,null,null,2019-10-30,null,null
3313,"Товариство з обмеженою відповідальністю ""Мєгастар""",Щит на фасаді,6.00 x 3.00 x 1,Героїв Сталінграда просп. - Гагаріна просп. 181,2024-10-30,null,null,2019-10-30,null,null
3314,"Товариство з обмеженою відповідальністю ""Мєгастар""",Щит на фасаді,6.00 x 3.00 x 1,Героїв Сталінграда просп. - Гагаріна просп. 181,2024-10-30,null,null,2019-10-30,null,null
3315,"Товариство з обмеженою відповідальністю ""Мєгастар""",Щит на фасаді,6.00 x 3.00 x 1,Героїв Сталінграда просп. - Гагаріна просп. 181,2024-10-30,null,null,2019-10-30,null,null
3316,"Товариство з обмеженою відповідальністю ""Мєгастар""",Щит на фасаді,6.00 x 3.00 x 1,Героїв Сталінграда просп. - Гагаріна просп. 181,2024-10-30,null,null,2019-10-30,null,null
3317,"Товариство з обмеженою відповідальністю ""Мєгастар""",Щит на фасаді,6.00 x 3.00 x 1,Героїв Сталінграда просп. - Гагаріна просп. 181,2024-10-30,null,null,2019-10-30,null,null
3318,"Товариство з обмеженою відповідальністю ""Мєгастар""",Щит на фасаді,6.00 x 3.00 x 1,Героїв Сталінграда просп. - Гагаріна просп. 181,2024-10-30,null,null,2019-10-30,null,null
3319,"Товариство з обмеженою відповідальністю ""Мєгастар""",Щит на фасаді,6.00 x 3.00 x 1,Героїв Сталінграда просп. - Гагаріна просп. 181,2024-10-30,null,null,2019-10-30,null,null
3320,"Товариство з обмеженою відповідальністю ""Автомобільний дом ""Соллі-плюс""",Прапор,1.20 x 4.50 x 3,Академіка Павлова вул. 325-Г,2025-09-23,null,null,2020-09-23,null,null
3321,Фізична особа-підприємець Лемішко Денис Сергійович,Щит на фасаді,9.00 x 0.90 x 1,Академіка Проскури вул. 1,2024-10-30,null,null,2019-10-30,null,null
3322,"Товариство з обмеженою відповідальністю ""Мєгастар""",Щит на фасаді,6.00 x 3.00 x 1,Героїв Сталінграда просп. - Гагаріна просп. 181,2024-10-30,null,null,2019-10-30,null,null
3323,"Товариство з обмеженою відповідальністю ""Мєгастар""",Щит на фасаді,6.00 x 3.00 x 1,Героїв Сталінграда просп. - Гагаріна просп. 181,2024-10-30,null,null,2019-10-30,null,null
3324,"Акціонерне товариство ""Державний ощадний банк України""",Щит на фасаді,4.10 x 0.60 x 1,Пушкінська вул. 65,2021-12-31,2244,2021-12-31,2017-01-18,null,null
3325,"Приватна фірма ""Гриан і Арс""",Щит стаціонарний,1.20 x 1.80 x 3,Ярослава Мудрого вул. 12,2022-08-21,null,null,2017-08-21,null,null
3326,Фізична особа-підприємець Щукін Анатолій Павлович,Кронштейн на фасаді,1.00 х 1.50 х 2,Ярослава Мудрого вул. 4,2024-11-26,null,null,2019-11-26,null,null
3327,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на існуючій споруді,0.62 х 0.87 х 1,Льва Ландау просп. 62-В,2022-07-01,null,null,2020-01-29,null,null
3328,"Товариство з обмеженою відповідальністю ""Соллі плюс""",Щит стаціонарний,1.40 x 6.50 x 2,Академіка Павлова вул. 323,2022-06-30,4958,2022-06-30,2020-08-19,null,null
3329,"Товариство з обмеженою відповідальністю ""Автомобільний дом ""Соллі-плюс""",Прапор,0.97 x 2.90 x 3,Академіка Павлова вул. 325-Г,2025-09-23,null,null,2020-09-23,null,null
3330,"Дочірнє підприємство ""БігБорд""",Зупинковий павільйон,1.20 x 1.80 x 4,Конституції м-н - Римарська вул.,2023-06-06,1,2024-09-30,2018-06-06,null,null
3331,"Дочірнє підприємство ""БігБорд""",Зупинковий павільйон,1.20 x 1.80 x 2,Сумська вул. 132,2023-06-06,1,2024-09-30,2018-06-06,null,null
3332,"Дочірнє підприємство ""БігБорд""",Щит стаціонарний,3.10 x 2.20 x 2,Сумська вул. 81,2023-06-06,1,2024-09-30,2018-06-06,null,null
3333,"Дочірнє підприємство ""БігБорд""",Зупинковий павільйон,1.20 x 1.80 x 2,Сумська вул. 128,2023-06-06,1,2024-09-30,2018-06-06,null,null
3334,"Дочірнє підприємство ""БігБорд""",Щит стаціонарний,3.10 x 2.20 x 2,Конституції м-н - Університетська вул.,2023-06-06,1,2024-09-30,2018-06-06,null,null
3335,"Дочірнє підприємство ""БігБорд""",Зупинковий павільйон,1.20 x 1.80 x 2,Сумська вул. 128,2023-06-06,1,2024-09-30,2018-06-06,null,null
3336,"Товариство з обмеженою відповідальністю ""Автомобільний дом ""Соллі-плюс""",Прапор,0.85 x 4.20 x 3,Академіка Павлова вул. 325-Г,2025-09-23,null,null,2020-09-23,null,null
3337,"Повне товариство ""Ломбард ""Свіжа копійка"" за участю ТОВ ""Еконотрейд"", ТОВ ""Технорітеіл""",Щит на фасаді,2.90 x 3.60 x 1,Героїв Сталінграда просп. 1-А,2023-10-10,null,null,2018-10-10,null,null
3338,"Акціонерне товариство ""Сбербанк""",Щит на фасаді,14.40 x 1.00 x 1,Незалежності просп. 7,2025-10-21,null,null,2020-10-21,null,null
3339,"Акціонерне товариство ""Сбербанк""",Щит на фасаді,1.00 x 1.20 x 1,Незалежності просп. 7,2025-10-21,null,null,2020-10-21,null,null
3340,"Товариство з обмеженою відповідальністю ""Соллі плюс""",Щит на фасаді,6.00 х 1.00 х 1,Академіка Павлова вул. 325-Ж,2025-10-07,null,null,2020-10-07,null,null
3341,"Товариство з обмеженою відповідальністю ""Соллі плюс""",Щит на фасаді,2.00 х 0.40 х 1,Академіка Павлова вул. 325-Ж,2025-10-07,null,null,2020-10-07,null,null
3342,"Товариство з обмеженою відповідальністю ""Автомобільний дом ""Соллі-плюс""",Прапор,1.00 x 3.00 x 3,Академіка Павлова вул. 323,2022-06-30,4955,2022-06-30,2020-08-19,null,null
3343,"Товариство з обмеженою відповідальністю ""Соллі плюс""",Прапор,1.00 x 3.00 x 3,Академіка Павлова вул. 323,2022-06-30,4958,2022-06-30,2020-08-19,null,null
3344,"Товариство з обмеженою відповідальністю ""Автомобільний дом ""Соллі-плюс""",Щит на фасаді,0.80 x 0.80 x 1,Академіка Павлова вул. 325-Д,2025-10-07,null,null,2020-10-07,null,null
3345,"Товариство з обмеженою відповідальністю ""Автомобільний дом ""Соллі-плюс""",Щит на фасаді,9.17 х 1.00 х 1,Академіка Павлова вул. 325-Г,2025-09-23,null,null,2020-09-23,null,null
3346,"Товариство з обмеженою відповідальністю ""Автомобільний дом ""Соллі-плюс""",Щит стаціонарний,0.80 x 6.00 x 2,Академіка Павлова вул. 325-Г,2025-09-23,null,null,2020-09-23,null,null
3347,"Товариство з обмеженою відповідальністю ""Слобожанська пивоварня""",Щит на фасаді,0.72 x 2.40 x 1,Сумська вул. 3,2021-12-31,4710,2021-12-31,2017-01-18,null,null
3348,"Товариство з обмеженою відповідальністю ""Слобожанська пивоварня""",Щит на фасаді,0.72 x 2.40 x 1,Сумська вул. 3,2021-12-31,4710,2021-12-31,2017-01-18,null,null
3349,"Товариство з обмеженою відповідальністю ""Сушия""",Щит на фасаді,8.00 x 0.57 x 1,Данилевського вул. - Науки просп. 8,2025-02-25,null,null,2020-02-25,null,null
3350,Фізична особа-підприємець Резнік Олександр Сергійович,Щит на фасаді,0.20 x 1.60 x 1,Сумська вул. 6,2020-12-31,3731,2020-12-31,2017-01-18,null,null
3351,"Акціонерне товариство ""УкрСиббанк""",Кронштейн на фасаді,1.30 x 2.05 x 2,Євгена Котляра вул. 4/6,2021-12-31,4528,2021-12-31,2017-01-18,null,null
3352,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,6.00 x 3.00 x 1,Олександрівський просп. 85,2024-04-10,null,null,2019-04-10,null,null
3353,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,6.00 x 3.00 x 1,Олександрівський просп. 85,2024-04-10,null,null,2019-04-10,null,null
3354,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,6.00 x 3.00 x 1,Олександрівський просп. 85,2024-04-10,null,null,2019-04-10,null,null
3355,"Приватне підприємство ""Престиж Автомоторс""",Щит на фасаді,11.55 x 0.80 x 1,Клочківська вул. 95,2025-02-25,null,null,2020-02-25,null,null
3356,"Приватне підприємство ""Престиж Автомоторс""",Щит стаціонарний,1.16 х 1.40 х 2,Клочківська вул. 95,2024-08-28,null,null,2019-08-28,null,null
3357,"Товариство з обмеженою відповідальністю ""КІВ і К""",Щит стаціонарний,6.00 x 3.00 x 2,Полтавський Шлях вул. - Окружна дорога,2023-06-06,10,2033-01-01,2018-06-06,null,null
3358,"Акціонерне товариство ""Юнекс Банк""",Щит на фасаді,4.20 x 0.56 x 1,Ярослава Мудрого вул. 38,2025-12-24,null,null,2020-12-24,null,null
3359,"Товариство з обмеженою відповідальністю ""Матонарді""",Щит стаціонарний,2.60 х 5.30 х 2,Людвіга Свободи просп. 48-Г,2022-06-30,3313,2021-06-30,2019-10-30,null,null
3360,Фізична особа-підприємець Колєснікова Владислава Євгенівна,Щит на фасаді,2.50 x 1.00 x 1,Культури вул. - Данилевського вул. 20,2021-12-31,4446,2021-12-31,2020-01-29,null,null
3361,"Товариство з обмеженою відповідальністю ""Чайка""",Щит стаціонарний,6.00 x 3.00 x 2,Лозовеньківський просп. - Архітекторів вул. 3,2022-06-30,4996,2022-06-30,2019-06-26,null,null
3362,"Товариство з обмеженою відповідальністю ""Італійський гріль""",Щит на фасаді,3.60 x 0.40 x 1,Сумська вул. 128,2021-12-31,4808,2021-12-31,2021-02-23,null,null
3363,"Акціонерне товариство ""УкрСиббанк""",Щит на фасаді,16.00 x 0.65 x 1,Конституції м-н 26,2023-05-10,null,null,2018-05-11,null,null
3364,"Акціонерне товариство ""УкрСиббанк""",Кронштейн на фасаді,0.65 x 1.03 x 2,Конституції м-н 26,2023-05-10,null,null,2018-05-11,null,null
3365,"Акціонерне товариство ""УкрСиббанк""",Кронштейн на фасаді,1.30 x 2.05 x 2,Вірменський пров. 1/3,2021-12-31,4528,2021-12-31,2017-01-18,null,null
3366,"Приватне підприємство ""100 пудов""",Щит на фасаді,4.69 x 0.40 x 1,Квітки-Основ'яненка вул. - Конституції м-н 1,2021-09-07,null,null,2016-09-07,null,null
3367,Фізична особа-підприємець Гонца Олександр Євгенович,Щит на фасаді,0.75 x 1.50 x 1,Пушкінська вул. - Дарвіна вул. 1,2021-12-31,1041,2021-12-31,2017-01-18,null,null
3368,Фізична особа-підприємець Гонца Олександр Євгенович,Щит на фасаді,0.75 x 1.50 x 1,Пушкінська вул. - Дарвіна вул. 1,2021-12-31,1041,2021-12-31,2017-01-18,null,null
3369,Фізична особа-підприємець Гонца Олександр Євгенович,Щит на фасаді,2.80 x 0.62 x 1,Пушкінська вул. - Дарвіна вул. 1,2021-12-31,1041,2021-12-31,2017-01-18,null,null
3370,Фізична особа-підприємець Шершень Раїса Іванівна,Щит на фасаді,0.80 x 1.30 x 1,Сумська вул. 19,2021-12-31,4498,2021-12-31,2017-01-18,null,null
3371,"Товариство з обмеженою відповідальністю ""Фіпронес""",Щит на фасаді,7.50 x 0.80 x 1,Отакара Яроша вул. 25-А,2021-03-23,null,null,2016-03-23,null,null
3372,Фізична особа-підприємець Друкальський Дмитро Ігорович,Щит на фасаді,13.50 x 1.05 x 1,Сумська вул. 53,2020-12-31,3550,2020-12-31,2017-01-18,null,null
3373,"Товариство з обмеженою відповідальністю ""Економ-Рент-Схід""",Щит на фасаді,31.20 x 1.57 x 1,Захисників України м-н 16,2024-12-24,null,null,2019-12-24,null,null
3374,"Приватне підприємство ""Промторгсервіс""",Щит на фасаді,1.40 x 1.50 x 1,Московський просп. 45,2021-07-06,null,null,2016-07-06,null,null
3375,"Товариство з обмеженою відповідальністю фірма ""Посад""",Щит на фасаді,1.0 х 2.0 х 1,Московський просп. 51-Б,2021-06-01,null,null,2016-06-01,null,null
3376,"Товариство з обмеженою відповідальністю фірма ""Посад""",Щит на фасаді,1.0 х 2.0 х 1,Московський просп. 51-Б,2021-06-01,null,null,2016-06-01,null,null
3377,"Публічне акціонерне товариство ""Платинум Банк""",Щит на фасаді,10.57 x 1.05 x 1,Гагаріна просп. 167,2021-08-03,null,null,2016-08-03,null,null
3378,"Товариство з обмеженою відповідальністю ""Сантекс груп""",Щит на фасаді,7.70 x 0.50 x 1,Сумська вул. 122,2021-12-31,4463,2021-12-31,2017-01-18,null,null
3379,Фізична особа-підприємець Хіценко Максим Олексійович,Щит на фасаді,7.00 х 0.87 х 1,Римарська вул. 23-А,2021-12-31,3969,2020-12-31,2021-03-17,null,null
3380,Фізична особа-підприємець Літвінова Лариса Вікторівна,Щит на фасаді,16.10 х 0.34 х 1,Науки просп. 23,2022-10-25,null,null,2017-10-25,null,null
3381,"Акціонерне товариство ""УкрСиббанк""",Кронштейн на фасаді,1.30 x 1.99 x 2,Новгородська вул. - Науки просп. 36,2022-01-18,null,null,2017-01-18,null,null
3382,"Товариство з обмеженою відповідальністю ""Алло""",Щит на фасаді,16.75 х 1.35 х 1,Людвіга Свободи просп. 52,2022-03-22,null,null,2017-03-22,null,null
3383,"Товариство з обмеженою відповідальністю ""Алло""",Щит на фасаді,12.74 х 2.90 х 1,Людвіга Свободи просп. 52,2022-03-22,null,null,2017-03-22,null,null
3384,"Товариство з обмеженою відповідальністю ""Респектплюс""",Щит стаціонарний,6.00 x 3.00 x 3,Мойсеївська вул. - Шевченка вул. 142-А,2022-06-07,null,null,2017-06-07,null,null
3385,Фізична особа-підприємець Ольховська Людмила Миколаївна,Щит виносний,0.70 x 1.00 x 1,Героїв Праці вул. 20/321,2021-12-31,4614,2021-12-31,2017-02-15,null,null
3386,Фізична особа-підприємець Ольховська Людмила Миколаївна,Щит на фасаді,0.90 x 2.20 x 1,Героїв Праці вул. 20/321,2021-12-31,4614,2021-12-31,2017-02-15,null,null
3387,Фізична особа-підприємець Козурман Юлія Олександрівна,Щит на фасаді,3.00 x 0.80 x 1,Алчевських вул. 38,2021-12-31,4585,2021-12-31,2017-01-18,null,null
3388,"Громадська організація ""Курд і Курдістан""",Щит на фасаді,10.00 х 0.90 х 1,Академіка Павлова вул. 144,2023-10-24,null,null,2018-10-24,null,null
3389,Фізична особа-підприємець Семененко Ірина Олексіївна,Щит на фасаді,8.20 x 0.70 x 1,Науки просп. 15,2023-10-24,null,null,2018-10-24,null,null
3390,Фізична особа-підприємець Семененко Ірина Олексіївна,Щит на фасаді,0.70 x 3.60 x 1,Науки просп. 15,2023-10-24,null,null,2018-10-24,null,null
3391,"Товариство з обмеженою відповідальністю ""Перспективні технології""",Щит на фасаді,0.85 х 0.85 х 1,Науки просп. 40,2025-01-29,null,null,2020-01-29,null,null
